"companyId","companyName","ReviewsCount","AggregateRating"
"3665344","Provana","1536.0","4.0"
"1121","Idemia Syscom India","755.0","3.8"
"745589","Wiley","99.0","3.8"
"5656458","Masadir Hr Services","",""
"4488662","Leuwint Technologies","11.0","4.5"
"702841","FOX Solutions","235.0","3.6"
"976348","Macmillan Publishers India Pvt Ltd.","627.0","3.4"
"4878350","Brindavanam Enterprise","",""
"4315412","Skyway Solution","",""
"1936","JBM Group","4429.0","3.9"
"123749665","TeamLease","",""
"124044894","Satguru Holidays","71.0","2.7"
"6384756","Emnas Technologies","2.0","3.2"
"1023672","Austere Systems","31.0","3.0"
"1081766","Sunknowledge","1171.0","3.6"
"5988592","Pawan Kumar Associates","",""
"2389366","Sir Syed Education Foundation","",""
"4424260","Intellemo Adtech","32.0","4.5"
"377597","Sarvodaya Hospital","349.0","3.6"
"1128912","Kich Architectural Products","111.0","3.6"
"108711","Interactive Manpower Solutions","",""
"96739","Vinove Software","13.0","1.1"
"256480","Renault Nissan Technology and Business Centre India (RNTBCI)","2059.0","3.8"
"6519430","Reliance Retail","25308.0","3.9"
"6806719","Staffing Root","",""
"1727468","NLB Services","",""
"66683","Lotte India Corporation","360.0","3.9"
"1786496","KVC CONSULTANTS LTD","",""
"3041618","KDK Software","165.0","3.1"
"3467328","PlanetSpark","2275.0","3.9"
"124546782","Logicview It Solutions (opc)","",""
"6781193","People Services","",""
"568269","Investors Clinic","776.0","3.8"
"834135","Ignites Human Capital","",""
"123598911","THINK WINNING","11.0","4.1"
"1080010","Theobroma Foods","374.0","3.9"
"73869","Hitech Digital Solutions","310.0","3.7"
"1981","Info Edge","2225.0","3.9"
"4323934","Career Mission","",""
"124395776","Mars Placement And Hr Solutions","",""
"3996702","Armaan Placements Services(himanshu Bisht )","",""
"188386","Gangar Opticians","179.0","3.8"
"607233","Webindia Inc","63.0","4.1"
"4888980","EMC HOSPITALS","11.0","2.3"
"4786962","Green Zone Construction Solutions","",""
"5676418","Sharda Narayan Health Care","4.0","2.4"
"5448586","Htic Global","136.0","3.7"
"749319","Buzzworks Business Services","",""
"6261948","Edelweiss Tokio","1041.0","3.6"
"3704914","Sunmax Auto Engineering","220.0","3.5"
"2172604","CMS It Services","2855.0","3.0"
"1376460","Nukebox Studios","109.0","2.1"
"1831806","Era University","40.0","3.6"
"88781","Williams Lea","489.0","3.6"
"15624","Sonata Software","1308.0","3.3"
"125092705","Techno One Solutions","",""
"397113","B4S Solutions","",""
"1236832","Bodycraft","23.0","3.0"
"123701517","LeadSense Media","40.0","3.7"
"4833618","Prosperity Wealth Management Pvt Ltd","",""
"25670","Yes Bank","9156.0","3.7"
"41373","Prodapt Solutions","1126.0","3.5"
"750599","Savista Global Solutions Pvt Ltd","309.0","4.0"
"124250326","Shanti Informatics","",""
"241","Computer Age Management Services (CAMS)","1954.0","3.6"
"1901194","Valuedrive Technologies","1741.0","3.6"
"1541586","Intellect Design Arena","2254.0","3.7"
"759377","JSW Paints LTD","6928.0","3.9"
"34535","Venus Remedies (VRL)","368.0","4.1"
"5858414","Gryphon Hytech Services","",""
"124117284","Green Publication Services","2.0","3.3"
"2318468","THR Consultants","",""
"3504220","Machino Plastics","291.0","3.8"
"124354500","Ajanta Beverages","",""
"1850510","Wonder Cement","857.0","4.2"
"6749829","Acorn Universal Consultancy","23.0","2.4"
"258638","Gujarat Fluorochemicals","1352.0","3.9"
"6712719","Karur Vysya Bank","1312.0","3.5"
"4362734","Expert Staffing Solutions New Delhi","",""
"4055006","Global Healthcare Billing Partners","550.0","3.4"
"3432438","Shining Stars Institution & travels","",""
"819486","NGO Shivam","",""
"6252012","Sri Chaitanya Schools","387.0","3.8"
"196523","Enoah Isolution","362.0","3.8"
"194647","Excelacom Technologies","90.0","3.2"
"2236","Edwise","155.0","3.9"
"6044546","Drivensteel Engineering","12.0","2.5"
"123789799","WSC Engineering","5.0","3.6"
"125080565","SRI LAKSHMI SOLUTIONS","",""
"103944","Rashmi Metaliks","1134.0","3.3"
"700939","People Alliance Workforce","",""
"5885042","Civicminds","",""
"123596809","Nile","49.0","3.1"
"124586540","Parex Technologies","3.0","4.2"
"4122350","Skytech Electricals","",""
"125104193","Naukri Hospitality Jobs","",""
"124272482","RECRUIT BAZAAR","",""
"123667827","Jungleworks","84.0","2.9"
"125136773","ST. Milagres","",""
"124760789","Medipharma Konnect","2.0","4.9"
"125141105","Malacca Matcha Bar  Bakehouse","",""
"3596282","Deyor Camps","6.0","1.3"
"1888110","Lighthouse Info Systems","74.0","3.5"
"5294608","Crossml","8.0","3.5"
"4801642","Bitsware","",""
"3587646","Futures First","136.0","3.5"
"125133359","Consumer Seva","",""
"125131293","Brainmage Ai","",""
"123738293","Zerovaega Technologies","6.0","3.2"
"5034116","Cheemaboilers","176.0","4.3"
"4241148","Nippon India Mutual Fund (NIMF)","471.0","4.4"
"1839168","iQor","965.0","3.3"
"2933178","Catholic Syrian Bank (CSB Bank)","1555.0","3.2"
"5505112","Happiness Code","",""
"4682770","Orangetree Global","2.0","2.8"
"4870436","Alorica","741.0","3.1"
"125133383","Medico Life Science","",""
"125133361","Ang Developers","",""
"125131267","Kashi Agro Biotech","",""
"125131261","Tejas Pharma","2.0","5.0"
"124460346","Jha Home Tuition","",""
"124795227","Akolta Solutions","",""
"124749391","MKS Instruments","5.0","3.6"
"4173658","Oerlikon Balzers","133.0","3.7"
"1616684","Axis Max Life Insurance","6428.0","4.0"
"3669904","Geoconsultants India Services","",""
"3587766","GEA","151.0","4.0"
"1884446","Cvent","539.0","3.3"
"124009376","Everise India BPO Services","33.0","3.4"
"4074806","Aswani Industries","100.0","3.7"
